ID,Brand,Model,Color,Nib Size,Ink Color,Purchase Date,Price,Notes
225,pierre cardin,Dance,silver-black,,blue,2021-08-01,150.0,Ball Pen
226,apsara,METALLO SLIM,dark blue,,blue,2020-03-01,70.0,Ball Pen
227,apsara,METALLO MAX,dark green,,blue,2020-03-01,70.0,Ball Pen
228,Souvenir,WOOD ART PEN STAND with Wooden Pen,wood,,,2023-01-01,100.0,Haider Gift
229,UNOMAX,Turbo Glide,green,,blue,2021-02-01,40.0,Retractable Ball Pen
230,Flair,Indigo,skin,,blue,2020-12-01,80.0,Metal Ball Pen
231,UNOMAX,STYLUS,red,,blue,2021-06-01,70.0,Ball Pen
232,Flair,WISH,black,,blue,2019-06-01,75.0,Metal Ball Pen
233,Reynolds,049 Delta ; FREE with Dabur Amla Hair Oil,blue cap- white body,,,2023-01-01,0.0,Inside packet of Flair WISH
234,Zymo,Pen,blue,,,2023-01-01,10.0,Inside packet of Flair WISH
235,pierre cardin,TRIANON,yellow-black,,blue,2020-11-01,40.0,Ball Pen ; FLY-END Power-Band Inside packet
236,SUPRA,Silvp,transparent,,blue,2023-01-01,5.0,Inside packet of pierre cardin TRIANON ; Ball Pen
237,TOTEM,Knight,black,,,2023-01-01,10.0,Inside packet of pierre cardin TRIANON ; Ball Pen ; chessboard pattern
238,flair,Regal,grey,,,2019-02-01,85.0,designer Metal Ball Pen
239,Flair,CONCORDE,skin,,blue,2020-03-01,20.0,Gel Pen
240,SUPRA,hello,pattern,,,2023-01-01,5.0,Inside Packet of Flair CONCORDE
241,pierre cardin,Beverly Hills,gold,,blue,2020-01-01,300.0,Satin Gold Ball Pen
242,Flair,REX,grey,,blue,2017-09-01,75.0,Designer Metal Ball Pen
243,Flair,PRIME,blue,,blue,2019-04-01,100.0,Designer Metal Roller Pen
244,Flair,ARMOUR,white,,blue,2019-01-01,85.0,Designer Metal Ball Pen
245,Goldex,KIWI-GEL,transparent,,blue,2023-01-01,5.0,Inside packet of Flair EROS ; Gel Pen
246,WIN,TERRAZZO,white,,blue,2023-01-01,5.0,Inside packet of Flair EROS ; Ball Pen
247,Flair,EROS,black,,blue,2019-07-01,80.0,Designer Metal Ball Pen
248,cello,CAESAR,black,,blue,2020-12-01,100.0,Ball Pen
249,Montex,Smart Flow,blue,,,2023-01-01,10.0,Ball Pen ; Inside packet of cello CAESAR
250,WIN,Te amo,blue,,,2023-01-01,5.0,Ball Pen ; Inside packet of cello CAESAR
251,WIN,WALTER,black,,blue,2014-09-01,15.0,Ball Pen
252,LINC,pentonic,black,,blue,2023-01-01,10.0,Ball Pen ; Inside packet of WIN WALTER
253,classmate,OCTO GLIDE,black,,black,2023-01-01,10.0,Gel Pen ; Inside packet of WIN WALTER
254,Luxor,METAL-X,black,,blue,2017-11-01,50.0,Ball Pen
255,UNOMAX,ULTRON 2X,black,,blue,2023-01-01,10.0,Inside packet of Luxor METAL-X ; Ball Pen
256,LINC,FASTER,transparent,,blue,2023-01-01,10.0,Inside packet of Luxor METAL-X ; Ball Pen
257,NATARAJ,SUPERX,transparent,,blue,2023-01-01,10.0,Inside packet of Luxor METAL-X ; Ball Pen
258,more essentials,Geometry box,,,,2018-01-01,149.0,Geometry Box
259,FABER-CASTELL,GR8 Geometry Box,,,,2023-01-01,100.0,"Geometry Box ; Rough date , price"
260,Flair,milano,white,,blue,2019-01-01,100.0,Designer Metal Ball Pen
261,Souvenir,Traditional Rajasthani Design Pen Set of 10,designer pens,,,2023-01-01,50.0,"Rough date , price"
262,cello,Swish,red,,blue,2018-01-01,60.0,Ball Pen
263,HAUSER,KRYSTA-TECH Gel Pen,blue,,blue,2020-03-01,20.0,Gel Pen
264,cello,Sapphire new,green,,blue,2014-11-01,35.0,Retractable Ball Pen
265,Rorito,ROBOMAX,classic black,,blue,2019-04-01,50.0,"Gel Pen , free Collectible Robostats"
266,Flair,Skin,bronze,,blue,2019-06-01,60.0,Designer Metal Ball Pen
267,pierre cardin,Plus SERIES 3 ACES,green-black,,blue,2018-10-01,40.0,Ball Pen
268,pierre cardin,Lyon,black,,blue,2018-07-01,150.0,Ball Pen
269,Camlin,Exam,,,,2020-01-01,125.0,Geometry Box
270,pierre cardin,Golden Era Satin Gold,gold-black,,blue,2021-11-01,300.0,Ball Pen
271,pierre cardin,Antica,gold,,blue,2018-06-01,300.0,Ball Pen
272,pierre cardin,President,black,,blue,2020-02-01,500.0,"Fountain Pen , 1 Ink Converter , 3 Cartridges"
273,Reynolds,TRIMAX AVIATOR,classic black,0.5,blue,2019-11-01,55.0,Gel Pen
274,HAUSER,NEXA Gold,black,,blue,2021-04-01,35.0,Ball Pen
275,DOMS,GEOMITI,,,,2019-12-01,75.0,Geometry Box
276,PARKER,VECTOR TIME CHECK GT,black,,blue,2018-09-01,450.0,"Roller Ball Pen , 1 Parker Logo Keychain free"
277,Flair,CARBONiX GEL,black,,blue,2023-01-01,10.0,Gel Pen ; Inside packet of Flair CARBONiX RT
